sshleifer/distilbart-cnn-12-6,mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization,microsoft/prophetnet-large-uncased-cnndm,t5-small,facebook/bart-large-cnn,google/pegasus-cnn_dailymail
Yes,No,No,No,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes
No,Yes,No,Yes,Yes,Yes
No,No,No,Yes,Yes,Yes
Yes,No,No,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
No,No,Yes,Yes,Yes,No
Yes,No,No,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes
Yes,Yes,No,No,Yes,Yes
No,No,No,No,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,No,No,No,Yes,Yes
Yes,No,Yes,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,No,No,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,No,No,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,No,Yes,No,Yes
No,Yes,No,No,Yes,Yes
Yes,No,No,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,No,Yes,Yes
Yes,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes
